,transect_id,country_id,continent,country_name,changerate,flag_sandy,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat
288934,BOX_080_003_36,FRA,Europe,France,0.09,False,55.430952469,-21.3164597808,55.4263631586,-21.3236536769,55.421774012700006,-21.3308473153
288935,BOX_080_003_37,FRA,Europe,France,-0.03,False,55.4337027866,-21.3179595101,55.43027603310001,-21.32569501,55.426849433,-21.3334301632
288936,BOX_080_003_38,FRA,Europe,France,0.27,False,55.436534867,-21.3189309315,55.4345000082,-21.3270816268,55.4324652563,-21.3352318935
288937,BOX_080_003_39,FRA,Europe,France,0.11,False,55.4396535279,-21.3193660399,55.43892882340001,-21.3277069477,55.4382041597,-21.3360473848
288938,BOX_080_003_40,FRA,Europe,France,0.02,False,55.4465936349,-21.3207635034,55.4432811109,-21.3285419123,55.4399687363,-21.3363199701
288939,BOX_080_003_41,FRA,Europe,France,0.21,False,55.4521870412,-21.3230703974,55.4474151409,-21.3301601319,55.4426434044,-21.337249623
288940,BOX_080_003_42,FRA,Europe,France,-0.1,False,55.4568449392,-21.3258964537,55.4512018141,-21.3324071516,55.4455588376,-21.3389176781
288941,BOX_080_003_43,FRA,Europe,France,0.07,False,55.4603396857,-21.3285247571,55.4546965727,-21.3350353245,55.4490535841,-21.3415457483
288942,BOX_080_003_44,FRA,Europe,France,-0.18,True,55.4638344322,-21.3311530135,55.4581913065,-21.3376634789,55.4525483306,-21.3441737713
288943,BOX_080_003_45,FRA,Europe,France,-0.15,True,55.4665571029,-21.3325245044,55.4620683532,-21.3397724377,55.4575797487,-21.3470201365
288944,BOX_080_003_46,FRA,Europe,France,-0.02,True,55.4704477588,-21.3346150569,55.46595900649999,-21.3418628911,55.4614704046,-21.3491104824
288945,BOX_080_003_47,FRA,Europe,France,-0.06,True,55.4734572022,-21.3360615795,55.4699504141,-21.3437649325,55.466443775200005,-21.3514679577
288946,BOX_080_003_48,FRA,Europe,France,1.56,True,55.4775924167,-21.3376947563,55.4740856319,-21.3453980161,55.4705789897,-21.3531009629
288947,BOX_080_003_49,FRA,Europe,France,-0.01,True,55.4817276312,-21.3393279149,55.4782208428,-21.3470310969,55.4747142042,-21.3547339499
288948,BOX_080_003_50,FRA,Europe,France,-0.01,True,55.4851786176,-21.3404685901,55.4824457125,-21.3484389829,55.4797129408,-21.3564089867
288949,BOX_080_003_51,FRA,Europe,France,1.87,True,55.4887936685,-21.3414584322,55.486755350600006,-21.3496071257,55.4847171397,-21.3577553911
288950,BOX_080_003_52,FRA,Europe,France,0.11,True,55.492283216,-21.3421827534,55.4911441403,-21.350482100000004,55.490005128,-21.3587809848
288951,BOX_080_003_53,FRA,Europe,France,0.28,False,55.496738539,-21.3427132186,55.49559946340001,-21.3510125351,55.4944604511,-21.3593113899
288952,BOX_080_003_54,FRA,Europe,France,-0.06,False,55.502660131800006,-21.3440578102,55.4999388658,-21.3520314579,55.49721773050001,-21.3600047229
288953,BOX_080_003_55,FRA,Europe,France,-0.08,False,55.5069406721,-21.3453250837,55.5042194062,-21.3532986624,55.5014982708,-21.3612718585
288954,BOX_080_003_56,FRA,Europe,France,1.41,False,55.5116684824,-21.3468149189,55.5084741463,-21.3546347121,55.5052799537,-21.3624541537
288955,BOX_080_003_57,FRA,Europe,France,0.24,True,55.515866509,-21.3483024709,55.5126721778,-21.3561221727,55.5094779804,-21.3639415469
288956,BOX_080_003_58,FRA,Europe,France,0.58,True,55.5200645357,-21.3497900078,55.516870203900005,-21.3576096315,55.513676007,-21.365428925
288957,BOX_080_003_59,FRA,Europe,France,0.02,True,55.5242625623,-21.3512775295,55.5210682246,-21.3590970883,55.5178740336,-21.366916288
288958,BOX_080_003_60,FRA,Europe,France,0.12,False,55.5286855212,-21.3529776129,55.5252185925,-21.3606956712,55.5217517813,-21.3684134677
288959,BOX_080_003_61,FRA,Europe,France,-0.14,False,55.5328291262,-21.3545920472,55.52936221270001,-21.3623099865,55.5258953863,-21.370027732
288960,BOX_080_003_62,FRA,Europe,France,-0.13,False,55.53697273109999,-21.3562064638,55.5335058261,-21.3639242993,55.5300389912,-21.3716419784
288961,BOX_080_003_63,FRA,Europe,France,-0.19,False,55.5411163361,-21.3578208626,55.53764943270001,-21.3655386093,55.5341825962,-21.3732562071
288962,BOX_080_003_64,FRA,Europe,France,-0.05,False,55.545259941000005,-21.3594352436,55.5417930324,-21.3671529168,55.5383262011,-21.374870418
288963,BOX_080_003_65,FRA,Europe,France,-0.05,False,55.5494035459,-21.3610496068,55.5459366254,-21.3687672216,55.5424698061,-21.376484611
288964,BOX_080_003_66,FRA,Europe,France,0.24,False,55.5535471509,-21.3626639522,55.5500802116,-21.3703815237,55.546613411,-21.3780987863
288965,BOX_080_003_67,FRA,Europe,France,1.36,False,55.5562976674,-21.3633598411,55.55438070050001,-21.3715328193,55.5524638344,-21.3797053678
288966,BOX_080_003_68,FRA,Europe,France,-0.39,False,55.5606857896,-21.3642524399,55.5587688227,-21.3724253683,55.5568519566,-21.3805978671
288967,BOX_080_003_69,FRA,Europe,France,0.03,False,55.5640682726,-21.3648454324,55.5631820682,-21.3731702134,55.5622959136,-21.3814945261
288968,BOX_080_003_70,FRA,Europe,France,0.0,False,55.5685379404,-21.3652580722,55.567651736,-21.3735828297,55.566765581400006,-21.381907119
288969,BOX_080_003_71,FRA,Europe,France,-0.06,False,55.5724612387,-21.3654568049,55.5721344063,-21.3738168187,55.5718075924,-21.382176356
288970,BOX_080_003_72,FRA,Europe,France,-0.26,False,55.5769498415,-21.365608986,55.5766230091,-21.3739689911,55.5762961953,-21.3823285197
288971,BOX_080_007_0,FRA,Europe,France,-61.55,False,55.7739995813,-21.1254381562,55.7806957957,-21.1198523337,55.7873920963,-21.1142664393
288972,BOX_080_007_1,FRA,Europe,France,-0.83,False,55.7710055384,-21.1223150102,55.7777017534,-21.1167290696,55.7843980534,-21.1111430581
288973,BOX_080_007_2,FRA,Europe,France,-1.61,False,55.7676929689,-21.1185819484,55.7748393544,-21.1135043439,55.7819857359,-21.1084267422
288974,BOX_080_007_3,FRA,Europe,France,0.7,False,55.7649714694,-21.1152487065,55.7721179234,-21.1101709392,55.7792642364,-21.1050932721
288975,BOX_080_007_4,FRA,Europe,France,4.19,False,55.7622499699,-21.1119153896,55.7693964537,-21.1068374871,55.7765427369,-21.1017597272
288976,BOX_080_007_5,FRA,Europe,France,0.02,False,55.7595284704,-21.1085819979,55.7666749453,-21.1035039877,55.7738212375,-21.0984261074
288977,BOX_080_007_6,FRA,Europe,France,0.26,False,55.756806971,-21.105248531300003,55.7639533983,-21.1001704409,55.771099738,-21.0950924127
288978,BOX_080_007_7,FRA,Europe,France,0.68,False,55.7540854715,-21.1019149898,55.7612318126,-21.0968368467,55.768378238500006,-21.0917586433
288979,BOX_080_007_8,FRA,Europe,France,-0.63,False,55.7514301973,-21.0988681701,55.7584019143,-21.0935826822,55.7653735473,-21.088297258
288980,BOX_080_007_9,FRA,Europe,France,-0.41,False,55.74859767270001,-21.0956159852,55.7555694462,-21.0903303388,55.7625410228,-21.0850448418
288981,BOX_080_007_10,FRA,Europe,France,0.06,False,55.745765148100006,-21.0923637292,55.7527369408,-21.0870779525,55.7597084982,-21.0817923543
288982,BOX_080_007_11,FRA,Europe,France,0.6,False,55.7429326235,-21.0891114019,55.74990439810001,-21.0838255233,55.7568759736,-21.0785397956
288983,BOX_080_007_12,FRA,Europe,France,-0.16,False,55.7401000989,-21.0858590035,55.747071818,-21.0805730513,55.754043449,-21.0752871658
288984,BOX_080_007_13,FRA,Europe,France,-0.57,True,55.737214386800005,-21.0825448674,55.74423920130001,-21.0773205373,55.751264112,-21.0720961356
288985,BOX_080_007_14,FRA,Europe,France,0.06,True,55.73432952050001,-21.0788501058,55.74160119810001,-21.0739284813,55.7488729251,-21.0690068235
288986,BOX_080_007_15,FRA,Europe,France,-0.01,False,55.7312794194,-21.0747674754,55.739014418500005,-21.0705049242,55.7467494617,-21.0662423488
288987,BOX_080_007_16,FRA,Europe,France,0.24,False,55.7289954271,-21.0711586111,55.73673044939999,-21.0668959438,55.7444654694,-21.0626332776
288988,BOX_080_007_17,FRA,Europe,France,0.31,False,55.7267114348,-21.0675496593,55.7344464391,-21.0632868984,55.7421814771,-21.059024119
288989,BOX_080_007_18,FRA,Europe,France,0.29,False,55.7242682827,-21.0622955082,55.7327125575,-21.0594356089,55.7411567855,-21.0565757253
288990,BOX_080_007_19,FRA,Europe,France,0.16,False,55.7227359925,-21.0583554096,55.7311802812,-21.0554954298,55.7396244953,-21.0526354752
288991,BOX_080_007_20,FRA,Europe,France,0.39,False,55.7212037023,-21.0544152066,55.729647969,-21.0515551585,55.7380922051,-21.0486951208
288992,BOX_080_007_21,FRA,Europe,France,0.46,False,55.7199133646,-21.0517243985,55.7278170673,-21.0477397748,55.7357207785,-21.0437551468
288993,BOX_080_007_22,FRA,Europe,France,0.26,False,55.7177786251,-21.0480362598,55.725682336800006,-21.0440515328,55.733586039,-21.0400668107
288994,BOX_080_007_23,FRA,Europe,France,0.61,True,55.7162642416,-21.0453322834,55.72351479899999,-21.0403825154,55.730765435,-21.0354326939
288995,BOX_080_007_24,FRA,Europe,France,0.1,True,55.7136125495,-21.0419487664,55.7208631294,-21.0369988707,55.728113743,-21.032048952
288996,BOX_080_007_25,FRA,Europe,France,0.24,True,55.7109608575,-21.0385651725,55.71821142060001,-21.0336151758,55.7254620509,-21.0286651332
288997,BOX_080_007_26,FRA,Europe,France,0.01,True,55.708757346400006,-21.0364180872,55.7151664709,-21.0305430233,55.7215757158,-21.0246678491
