,transect_id,country_id,continent,country_name,changerate,changerate_unc,flag_sandy,no_shorelines,dt_annual,dist_annual,RMSE,outliers_1,outliers_2,Timespan,intercept,intercept_unc,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat,coastline_idint,no_sedcomp,low_detect_shlines,err_changerate,err_timespan,color_cr,color_sandy
10,BOX_117_121_10,NLD,Europe,Netherlands,0.8,0.2742115139095971,sand,30.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1296.699410562098, 1260.570071296942, 1834.0990677123532, 1316.399417412801, 1288.4986808519977, 1268.076932906019, 1291.209946203697, 1316.399417412801, 1316.399417412801, 1288.4265256841811, 1316.399417412801, 1295.723095206365, 1295.7058495375877, 1316.399417412801, 1285.7719095672287, 1295.7058495375877, 1288.4986808519977, 1273.902875435547, 1298.505421890181, 1316.421566359384, 1314.7778901018442, 1295.723095206365, 1295.723095206365, 1316.399417412801, 1316.421566359384, 1316.421566359384, 1316.399417412801, 1316.399417412801, 1316.399417412801, 1313.444248744835]",14.125595008517188,[2],[],37.0,1284.2081696711266,6.539378775759452,-68.4063869566,12.2622485454,-68.4153652321,12.2625377256,-68.4243435107,12.2628269059,8637.0,1.0,1.0,1.0,1.0,green,brown
11,BOX_117_121_11,NLD,Europe,Netherlands,-999.0,-999.0,sand,1.0,[6.0],[1527.487662681092],-999.0,[],[],0.0,-999.0,-999.0,-68.319039607,12.2499391937,-68.3147885071,12.2576724442,-68.3105374516,12.265405614,8637.0,1.0,0.0,0.0,0.0,red,brown
12,BOX_117_121_12,NLD,Europe,Netherlands,0.29,0.1895635952673238,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1238.5764640377415, 887.6594979956202, 898.9899997951181, 888.5153566869841, 880.6582588346737, 881.1411956916904, 888.5153566869841, 888.5153566869841, 888.5153566869841, 880.6582588346737, 887.8541532982181, 887.6594979956202, 898.5304828299899, 898.6018799154427, 853.3814380508026, 888.3319744599505, 888.5153566869841, 874.0118709613887, 887.2555294786141, 887.8541532982181, 880.2323364494665, 896.9285784953424, 898.6285369509217, 888.5153566869841, 901.2563323411991, 904.6021991307783, 888.5153566869841, 898.5304828299899, 898.6285369509217, 898.6285369509217, 888.5153566869841]",9.42725607421884,[],[0],35.0,882.8758562205417,4.5466293016729855,-68.32299641670001,12.252016328699998,-68.318745296,12.2597495561,-68.3144942613,12.2674826272,8637.0,1.0,1.0,1.0,1.0,green,brown
13,BOX_117_121_13,NLD,Europe,Netherlands,0.14,0.1292622895876382,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1178.758091866132, 950.1661226629914, 951.137131429081, 934.1175204505308, 928.6573506854735, 950.1661226629914, 950.1661226629914, 946.5682836025585, 950.1661226629914, 945.9580900227828, 950.1661226629914, 950.1661226629914, 950.1661226629914, 950.1661226629914, 949.8923250630938, 950.1661226629914, 950.1661226629914, 932.2543460383093, 946.5682836025585, 950.1661226629914, 928.6573506854735, 945.6655210010518, 950.1661226629914, 950.1661226629914, 950.1661226629914, 951.1162932211608, 950.1661226629914, 950.1661226629914, 950.1661226629914, 950.1661226629914, 950.1661226629914]",6.428393219233482,[],[0],35.0,944.026958508886,3.1003203211462087,-68.3275605426,12.2548704077,-68.322512835,12.2621318156,-68.31746519800001,12.2693931219,8637.0,1.0,1.0,1.0,1.0,green,brown
14,BOX_117_121_14,NLD,Europe,Netherlands,-0.28,0.1520374141735547,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1070.00540711673, 1048.9307800884142, 1074.7882803334478, 1058.740275503772, 1048.9283489129905, 1048.9283489129905, 1059.886907438128, 1048.9307800884142, 1048.9307800884142, 1048.9283489129905, 1048.9283489129905, 1048.9283489129905, 1045.0156000863155, 1048.850719927943, 1048.9283489129905, 1048.9283489129905, 1048.9283489129905, 1048.9283489129905, 1069.014454076089, 1050.3647754747362, 1028.8248036614264, 1046.1569218505688, 1048.9307800884142, 1048.9283489129905, 1050.100871095427, 1069.0305875347287, 1048.9283489129905, 1048.9307800884142, 1050.100871095427, 1050.0229442434209, 1048.9307800884142]",8.215278496926215,[],[],37.0,1057.6179725155755,3.587276481441183,-68.3312759847,12.2573367219,-68.326228283,12.2645980533,-68.3211806401,12.2718593002,8637.0,1.0,1.0,1.0,1.0,red,brown
15,BOX_117_121_15,NLD,Europe,Netherlands,0.31,0.1424893251904662,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[960.3534649795935, 980.1988141618843, 1607.1568767283802, 980.5347226048772, 960.5461106990889, 977.2285573428522, 980.6933813488398, 981.0197292686169, 981.0197292686169, 960.3925161348085, 980.5347226048772, 968.7559733778777, 981.0197292686169, 975.3800390835662, 969.449755637917, 986.1785618092848, 970.9736941837729, 980.5347226048772, 981.0197292686169, 972.044197374753, 959.586264620485, 990.8508449139342, 980.1988141618843, 981.0197292686169, 981.0197292686169, 981.0197292686169, 981.0197292686169, 985.9370109501572, 981.0197292686169, 981.0197292686169, 981.0197292686169]",7.384239054946883,[2],[],37.0,970.173565343938,3.413999689439212,-68.3349914268,12.2598030129,-68.32994372,12.267064283800002,-68.3248960821,12.2743254554,8637.0,1.0,1.0,1.0,1.0,green,brown
16,BOX_117_121_16,NLD,Europe,Netherlands,0.25,0.1414307468568749,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[986.0737461760829, 983.5143147782068, 1842.9213101815178, 997.4951075294731, 970.5260696223771, 969.3589504975973, 990.4098891573526, 988.5153355971935, 986.120738266664, 983.5143147782068, 983.5143147782068, 986.0972937888802, 986.3496694208172, 983.5143147782068, 972.3580071830689, 985.9001382836253, 985.9001382836253, 985.8958279203247, 986.120738266664, 983.4961979561245, 974.880837526109, 1004.6341390677275, 986.0972937888802, 988.5364430710624, 997.5741497993197, 998.3410085283742, 986.0972937888802, 985.9001382836253, 997.5741497993197, 988.5153355971935, 988.5364430710624]",7.329382901062113,[2],[],37.0,980.8196209995824,3.388636723641873,-68.3396012611,12.2630594182,-68.3336061877,12.2695966842,-68.3276111891,12.2761338685,8637.0,1.0,1.0,1.0,1.0,green,brown
17,BOX_117_121_17,NLD,Europe,Netherlands,-0.1,0.1400714818065686,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[865.3859220178285, 865.3356002229207, 1249.7142612953423, 865.3356002229207, 855.4136327436175, 855.4136327436175, 870.6256020697926, 848.8795945567698, 867.5949955110345, 851.5869666081637, 865.3356002229207, 854.8321124671742, 867.5949955110345, 865.3356002229207, 863.8157004969435, 855.4136327436175, 855.4136327436175, 846.7763417408643, 843.145626328335, 855.4136327436175, 847.212552245607, 855.4136327436175, 865.3230769191374, 865.3356002229207, 865.3356002229207, 867.5949955110345, 855.4136327436175, 855.4136327436175, 865.3356002229207, 865.3356002229207, 855.4136327436175]",7.258944625559621,[2],[],37.0,861.4982933191862,3.356069347360972,-68.342946279,12.2659885248,-68.336951223,12.272525699,-68.330956207,12.2790628297,8637.0,1.0,1.0,1.0,1.0,red,brown
18,BOX_117_121_18,NLD,Europe,Netherlands,0.02,0.185397276660481,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[899.9341291048083, 914.7035260604403, 994.2733204431407, 920.5710636451042, 899.9073958337248, 903.6712603500589, 903.7038263032091, 896.4040334796075, 914.7035260604403, 903.6712603500589, 903.6712603500589, 910.3414554605355, 905.5829295570916, 916.0548905871317, 901.0524168362525, 897.541083513355, 914.7035260604403, 879.9435194188418, 915.9901743965011, 903.7038263032091, 880.4482779620007, 903.7038263032091, 903.7038263032091, 903.7038263032091, 914.7035260604403, 921.2487625912202, 903.7038263032091, 903.6712603500589, 914.7035260604403, 903.7038263032091, 914.7035260604403]",9.60783255273962,[],[2],37.0,905.3558147258224,4.442064976288147,-68.34629129689999,12.268917598699998,-68.3402962417,12.2754546994,-68.3343012249,12.2819917582,8637.0,1.0,1.0,1.0,1.0,green,brown
19,BOX_117_121_19,NLD,Europe,Netherlands,0.09,0.1765208425512837,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[964.5781705742588, 950.7921225652674, 939.1471078503424, 910.4222135085598, 927.3409612995496, 942.1155821125334, 942.1155821125334, 950.7921225652674, 951.8815765102638, 933.395117707382, 950.7921225652674, 951.8815765102638, 942.1155821125334, 922.2429918174964, 950.7921225652674, 942.1155821125334, 951.8815765102638, 942.1155821125334, 942.5725653682699, 942.7100567574811, 927.3257276813172, 951.8815765102638, 933.395117707382, 950.7921225652674, 951.8815765102638, 951.9613497060059, 951.8815765102638, 951.8815765102638, 951.9613497060059, 951.8815765102638, 951.8815765102638]",9.19653451557527,[],[3],37.0,943.6034032879088,4.227787189678665,-68.3496363147,12.2718466401,-68.34364124380001,12.2783836852,-68.3376462427,12.2849206542,8637.0,1.0,1.0,1.0,1.0,green,brown
